"Company_Name","Address","Revenue"
"LOGISTIK PTY LTD","Thomastown,Victoria Australia","$128.57M"
"BERTOCCHI SMALLGOODS PTY LTD","Thomastown,Victoria Australia","$128.22M"
"AUTOPACIFIC GROUP HOLDINGS PTY LTD","Keysborough,Victoria Australia","$127.61M"
"ENERGY SOLUTIONS PTY LTD","Melbourne,Victoria Australia","$127.55M"
"SHERIDAN AUSTRALIA PTY LIMITED","Pyrmont,New South Wales Australia","$125.65M"
"HANES AUSTRALIA PTY LTD","Kew,Victoria Australia","$125.65M"
"HANES INNERWEAR AUSTRALIA PTY LTD","Kew,Victoria Australia","$125.65M"
"HANES AUSTRALASIA PTY LTD","Kew,Victoria Australia","$125.65M"
"HANES HOLDINGS AUSTRALASIA PTY LTD","Hartwell,Victoria Australia","$125.65M"
"TUROSI FARMING PTY LTD","Thomastown,Victoria Australia","$125.44M"
"CONTINENTAL POULTRY PTY. LTD.","Thomastown,Victoria Australia","$125.44M"
"APIAM ANIMAL HEALTH LIMITED","East Bendigo,Victoria Australia","$125.39M"
"VEYANCE TECHNOLOGIES AUSTRALIA PTY LTD","Bayswater,Victoria Australia","$125.26M"
"DIRECTED ELECTRONICS AUSTRALIA PTY LTD","Melbourne Airport,Victoria Australia","$122.98M"
"SCHIAVELLO TECHNOLOGIES PTY. LTD.","Tullamarine,Victoria Australia","$122.83M"
"GALE PACIFIC LIMITED","Braeside,Victoria Australia","$122.65M"
"MIDWAY LIMITED","North Shore,Victoria Australia","$122.6M"
"SLADE HEALTH PTY LTD","Mount Waverley,Victoria Australia","$122.6M"
"TREASURY WINE ESTATES AUSTRALIA LIMITED","Melbourne,Victoria Australia","$122.1M"
"TREASURY WINE ESTATES (NZ) HOLDING CO PTY LTD","Melbourne,Victoria Australia","$122.1M"
"SCW905 LIMITED","Melbourne,Victoria Australia","$122.1M"
"BERINGER BLASS WINES PTY LTD","Melbourne,Victoria Australia","$122.1M"
"SOUTHCORP INTERNATIONAL INVESTMENTS PTY LTD","Melbourne,Victoria Australia","$122.1M"
"MILDARA HOLDINGS PTY LIMITED","Melbourne,Victoria Australia","$122.1M"
"BILYARA VINEYARDS PTY. LTD.","Melbourne,Victoria Australia","$122.1M"
"WOLF BLASS WINES PTY LTD","Nuriootpa,South Australia Australia","$122.1M"
"MAJORCA PTY. LTD.","Melbourne,Victoria Australia","$120.56M"
"BEGA DAIRY AND DRINKS PTY LTD","Docklands,Victoria Australia","$119.76M"
"FONTERRA AUSTRALIA PTY LTD","Richmond,Victoria Australia","$119.76M"
"VOSSLOH AUSTRALIA PTY LIMITED","Sydney,New South Wales Australia","$118.84M"
"H.J. LANGDON & CO. PROPRIETARY LIMITED","Derrimut,Victoria Australia","$118.1M"
"MCCORMICK FOODS AUSTRALIA PTY. LTD.","Clayton South,Victoria Australia","$117.79M"
"MARCOPOLO AUSTRALIA HOLDINGS PTY LTD","Dandenong,Victoria Australia","$117.53M"
"VOLGREN AUSTRALIA PTY. LIMITED","Dandenong,Victoria Australia","$117.52M"
"WONDEREST LIMITED","Beaumaris,Victoria Australia","$117.21M"
"SALIENT ASIA PACIFIC PTY LTD","Cremorne,Victoria Australia","$116.56M"
"TETRA PAK MANUFACTURING PTY. LIMITED","Hawthorn,Victoria Australia","$116.34M"
"HERITAGE GLASS PRODUCTS (SA) PTY LTD","Tullamarine,Victoria Australia","$115.71M"
"KYVALLEY DAIRY GROUP PTY LTD","Kyabram,Victoria Australia","$115.65M"
"MONDELEZ AUSTRALIA PTY LTD","South Melbourne,Victoria Australia","$115.52M"
"AIRMASTER AUSTRALIA PTY. LTD.","Scoresby,Victoria Australia","$115.48M"
"RYOWA DEVELOPMENT II PTY. LIMITED","Brisbane City,Queensland Australia","$113.99M"
"FUTURIS GLOBAL HOLDINGS PTY LTD","Melbourne,Victoria Australia","$113.54M"
"TRICAB GROUP PTY LTD","Port Melbourne,Victoria Australia","$112.99M"
"NATIONAL CAN INDUSTRIES PTY LTD","Preston,Victoria Australia","$112.55M"
"GODFREY HIRST LOGISTICS PTY LTD","Bayswater North,Victoria Australia","$112.13M"
"AUSTRALIAN DEFENCE APPAREL PTY LTD","Thomastown,Victoria Australia","$112.12M"
"4 PINES BREWING COMPANY WHOLESALE PTY LIMITED","Brookvale,New South Wales Australia","$111.94M"
"4 PINES BREWING HOLDINGS PTY LTD","Southbank,Victoria Australia","$111.94M"
"EMENCEE PTY LTD","Currumbin,Queensland Australia","$111.94M"
"CUB BEVERAGE INVESTMENTS PTY LTD","Southbank,Victoria Australia","$111.94M"
"PIRATE LIFE BREWING PTY LTD","Southbank,Victoria Australia","$111.94M"
"THE CONTINENTAL SPIRITS COMPANY PTY LTD","Southbank,Victoria Australia","$111.94M"
"BULMER AUSTRALIA PTY LTD","Southbank,Victoria Australia","$111.94M"
"BREWING INVESTMENTS PTY LTD","Southbank,Victoria Australia","$111.94M"
"AMAYANA PTY. LTD.","Southbank,Victoria Australia","$111.94M"
"CUB PTY LTD","Southbank,Victoria Australia","$111.94M"
"FOSTER'S GROUP PTY LTD","Southbank,Victoria Australia","$111.94M"
"SAB AUSTRALIA PTY LTD","Collingwood,Victoria Australia","$111.94M"
"4 PINES BREWING COMPANY PTY LIMITED","Charlestown,New South Wales Australia","$111.94M"
"MBBC PTY LTD","Healesville,Victoria Australia","$111.94M"
"QUEENSLAND BREWERIES PTY LTD","Yatala,Queensland Australia","$111.94M"
"CUB PEOPLE PTY LTD","Southbank,Victoria Australia","$111.94M"
"FACTORY X PTY. LTD.","Abbotsford,Victoria Australia","$111.33M"
"BUCHER MUNICIPAL PTY LTD","Clayton,Victoria Australia","$110.94M"
"COBRAM ESTATE OLIVES LIMITED","Lara,Victoria Australia","$110.48M"
"GARDEN CITY PLANTERS PTY. LTD.","Dandenong South,Victoria Australia","$110.13M"
"PENTAIR AUSTRALIA HOLDINGS PTY LTD","Dandenong South,Victoria Australia","$109.28M"
"MONDELEZ AUSTRALIA (FOODS) LTD","South Melbourne,Victoria Australia","$108.79M"
"KF (AUSTRALIA) PTY LTD","South Melbourne,Victoria Australia","$108.79M"
"GOURMET FOOD FINANCE PTY LTD","Dandenong South,Victoria Australia","$108.46M"
"CARMAN'S FINE FOODS PTY LTD","Cheltenham,Victoria Australia","$108.45M"
"NOTE PRINTING AUSTRALIA LIMITED","Craigieburn,Victoria Australia","$107.87M"
"MALTEUROP AUSTRALIA PTY LTD","Geelong North,Victoria Australia","$107.52M"
"STEEL MAINS HOLDINGS PTY LTD","Somerton,Victoria Australia","$107.28M"
"STEEL MAINS PROPRIETARY LIMITED","Somerton,Victoria Australia","$107.28M"
"SCHIAVELLO MANUFACTURING OF AUSTRALIA PTY. LTD.","Tullamarine,Victoria Australia","$106.64M"
"TRAJAN GROUP HOLDINGS LIMITED","Ringwood,Victoria Australia","$106.03M"
"ARA MANUFACTURE PTY LTD","Derrimut,Victoria Australia","$105.9M"
"UACJ AUSTRALIA PTY. LIMITED","Melbourne,Victoria Australia","$105.66M"
"VISY INDUSTRIES HOLDINGS PTY LTD","Southbank,Victoria Australia","$105.05M"
"AIR INTERNATIONAL THERMAL (CHINA) PTY LTD","Wheelers Hill,Victoria Australia","$104.99M"
"PACIFIC MEAT HOLDINGS PTY LTD","Thomastown,Victoria Australia","$104.76M"
"RLM HOLDINGS PTY. LTD.","Clayton,Victoria Australia","$104.44M"
"GOOD FOOD PARTNERS HOLDCO PTY LTD","Rowville,Victoria Australia","$103.74M"
"COUNTRY ROAD INTERNATIONAL PTY. LTD.","Burnley,Victoria Australia","$102.7M"
"BITUMINOUS PRODUCTS HOLDINGS PTY LTD","East Melbourne,Victoria Australia","$102.03M"
"SURDEX STEEL PTY. LIMITED","Dandenong South,Victoria Australia","$101.83M"
"SENTRY MEDICAL PTY LIMITED","Eastern Creek,New South Wales Australia","$101.78M"
"SNF (AUSTRALIA) PTY. LIMITED","Lara,Victoria Australia","$101.61M"
"TILLING TIMBER PROPRIETARY LIMITED","Kilsyth,Victoria Australia","$101.34M"
"IFF AUSTRALIA HOLDINGS PTY LIMITED","Dandenong South,Victoria Australia","$100.61M"
"CANADIAN SOLAR MSS (AUSTRALIA) PTY LTD","Carlton,Victoria Australia","$100.41M"
"CATAPULT GROUP INTERNATIONAL LTD","Prahran,Victoria Australia","$100M"
"BALLANTYNE PTY. LTD.","South Melbourne,Victoria Australia","$99.9M"
"M.C. HERD PROPRIETARY LIMITED","Corio,Victoria Australia","$99.79M"
"H TROON PTY LTD","Ballarat,Victoria Australia","$99.74M"
"ADCHEM (AUSTRALIA) PTY. LTD.","Burra,South Australia Australia","$99.46M"
"AUSTRALIA MALT HOLDCO PTY LTD","Sydney,New South Wales Australia","$99.37M"
"MARINE POWER INTERNATIONAL LLC","Rowville,Victoria Australia","$99M"
"AB FOOD & BEVERAGES AUSTRALIA PTY LIMITED","Rowville,Victoria Australia","$98.74M"
"H.G.S. PROPRIETARY LIMITED","Thomastown,Victoria Australia","$98.02M"
"SUTTON TOOLS PROPRIETARY LIMITED","Thomastown,Victoria Australia","$98.02M"
"ADBRI MASONRY GROUP PTY LTD","Campbellfield,Victoria Australia","$97.16M"
"NP AUSTRALIA PTY LTD","Kilsyth,Victoria Australia","$96.97M"
"CIMPRESS AUSTRALIA PTY LIMITED","Derrimut,Victoria Australia","$96.79M"
"BELLE BANNE CONVEYOR SERVICES PTY LTD","Dandenong South,Victoria Australia","$96.76M"
"DOW CHEMICAL (AUSTRALIA) PTY LTD","Melbourne,Victoria Australia","$96.7M"
"THE HUNTER RIVER COMPANY PTY LIMITED","Shepparton,Victoria Australia","$96.6M"
"DYNO NOBEL MOURA PTY LIMITED","Murarrie,Queensland Australia","$96.07M"
"G. & B. GATHERCOLE (VIC.) PTY. LTD.","Carrum Downs,Victoria Australia","$96.06M"
"AVERY DENNISON AUSTRALIA PTY LTD","Moorabbin Airport,Victoria Australia","$96.02M"
"INCITEC FERTILISERS OPERATIONS PTY LTD","Southbank,Victoria Australia","$95.97M"
"WOOLWORTHS INTERNATIONAL (AUSTRALIA) PTY LIMITED","Burnley,Victoria Australia","$95.67M"
"APEX STEEL SUPPLIES PTY LTD","Direk,South Australia Australia","$95.46M"
"HOWE AUTOMOTIVE LIMITED","Thomastown,Victoria Australia","$93.6M"
"GLEN DIMPLEX AUSTRALIA HOLDINGS PTY LIMITED","Scoresby,Victoria Australia","$93.06M"
"AKD NSW PTY LIMITED","Colac,Victoria Australia","$92.96M"
"REINFORCED CONCRETE PIPES AUSTRALIA (HOLDINGS) PTY LTD","Melton South,Victoria Australia","$92.23M"
"AUSTRALIAN LAMB COLAC LABOUR HIRE PTY LTD","Colac,Victoria Australia","$91.78M"
"DANONE SAPUTO DAIRY AUSTRALIA PTY LTD","Melbourne,Victoria Australia","$91.69M"
"FLEETWOOD VIC & QLD PTY LTD","Derrimut,Victoria Australia","$91.66M"
"SEW-EURODRIVE PTY. LTD.","Tullamarine,Victoria Australia","$91.52M"
"AGILENT TECHNOLOGIES AUSTRALIA PTY LTD","Mulgrave,Victoria Australia","$90.94M"
"L3HARRIS INTEGRATED MISSION SYSTEMS AUSTRALIA PTY LTD","Fremantle,Western Australia Australia","$90.66M"
"ICS INDUSTRIES PTY LTD","Thomastown,Victoria Australia","$89.77M"
"YOKOHAMA TYRE AUSTRALIA PTY LTD","Murrumbeena,Victoria Australia","$89.57M"
"SOUTHERN STAR WINDOWS PTY. LTD.","Bell Park,Victoria Australia","$89.52M"
"MIMCO PTY LTD","Burnley,Victoria Australia","$89.44M"
"AS COLOUR PTY LIMITED","Truganina,Victoria Australia","$89.29M"
"CLOSE THE LOOP LTD.","Oakleigh South,Victoria Australia","$88.89M"
"THE WRIGLEY COMPANY PTY. LTD","Asquith,New South Wales Australia","$88.25M"
"THE WRIGLEY CONFECTIONERY COMPANY PTY LIMITED","Asquith,New South Wales Australia","$88.25M"
"THE BODY SHOP AUSTRALIA PTY LIMITED","Chadstone,Victoria Australia","$87.61M"
"H. W. GREENHAM & SONS PROPRIETARY LIMITED","Port Melbourne,Victoria Australia","$87.47M"
"KINGSPAN HOLDINGS AUSTRALIA PTY LIMITED","Somerton,Victoria Australia","$87.3M"
"DESIGNWORKS INTERNATIONAL PTY LTD","Richmond,Victoria Australia","$86.88M"
"DONCASTER EUROPEAN PTY LTD","Doncaster,Victoria Australia","$86.42M"
"LEMNOS FOODS PTY LTD","Dandenong South,Victoria Australia","$84.84M"
"DOW PERFORMANCE MATERIALS (AUSTRALIA) PTY LTD","Melbourne,Victoria Australia","$84.83M"
"TRICAB (AUSTRALIA) PTY LTD","Port Melbourne,Victoria Australia","$84.79M"
"ELTA GROUP (ASIA PACIFIC) PTY LTD","Dandenong South,Victoria Australia","$84.79M"
"TURI FOODS PTY. LTD.","Thomastown,Victoria Australia","$84.58M"
"AL-KO INTERNATIONAL PTY LIMITED","Dandenong South,Victoria Australia","$84.38M"
"BROKEN HILL TELEVISION PTY LIMITED","Broken Hill,New South Wales Australia","$84.11M"
"CASTLEGATE JAMES AUSTRALASIA PTY LTD","Braybrook,Victoria Australia","$83.94M"
"WILEY PUBLISHING AUSTRALIA PTY LTD","Melbourne,Victoria Australia","$83.64M"
"ANCA MOTION PTY LTD","Bayswater North,Victoria Australia","$83.37M"
"RIDLEY AGRIPRODUCTS PTY LTD.","Melbourne,Victoria Australia","$83.36M"
"HAULOTTE AUSTRALIA PTY. LTD.","Coopers Plains,Queensland Australia","$83.14M"
"HY-TEC INDUSTRIES (VICTORIA) PTY LTD","Campbellfield,Victoria Australia","$83.11M"
"SAFECORP GROUP LTD","Braeside,Victoria Australia","$82.73M"
"SPECIALTY PACKAGING GROUP PTY LTD","Burnley,Victoria Australia","$82.27M"
"GORDON BROTHERS INDUSTRIES PTY LTD","Brunswick,Victoria Australia","$82.01M"
"SIMPLOT AUSTRALIA (INTERNATIONAL) PTY. LIMITED","Mentone,Victoria Australia","$82.01M"
"SIMPLOT AUSTRALIA (JV NO.1) PTY LIMITED","Mentone,Victoria Australia","$82.01M"
"SIMPLOT AUSTRALIA (TRADE MARKS) PTY LIMITED","Mentone,Victoria Australia","$82.01M"
"GOLDACRES HOLDINGS PTY LTD","Mitchell Park,Victoria Australia","$81.82M"
"SIMPLOT I&J FOODS PTY LTD","Mentone,Victoria Australia","$81.33M"
"452HM PTY LTD","Melbourne,Victoria Australia","$81.16M"
"FLAVOUR MAKERS AUSTRALIA PTY LTD","Braeside,Victoria Australia","$81.15M"
"DAVIES BAKERY PTY LTD","Broadmeadows,Victoria Australia","$80.98M"
"RIDDER MOSS HOLDINGS PTY LTD","Clayton,Victoria Australia","$80.71M"
"PETER STEVENS MOTORCYCLES PTY. LTD.","Rowville,Victoria Australia","$80.28M"
"BED BATH 'N' TABLE PTY LTD","Hawthorn,Victoria Australia","$80.24M"
"RESOLUTE TESTING LABORATORIES PTY LTD","Lawnton,Queensland Australia","$79.94M"
"MAXIPARTS AUSTRALIA PTY LTD","Truganina,Victoria Australia","$79.42M"
"REID STOCKFEEDS PTY LTD","South Melbourne,Victoria Australia","$79.27M"
"SEM FIRE AND RESCUE PTY LTD","Wendouree,Victoria Australia","$79.07M"
"CLARISSE HOLDINGS PTY LTD","Docklands,Victoria Australia","$78.61M"
"UNICHARM AUSTRALASIA HOLDING PTY LTD","Mentone,Victoria Australia","$78.34M"
"PRESTAL HOLDINGS LIMITED","Fitzroy,Victoria Australia","$78.23M"
"ABCOR HOLDINGS PTY LTD","Campbellfield,Victoria Australia","$77.65M"
"AUSTRALIAN LAMB COLAC GROUP HOLDINGS PTY LTD","Colac,Victoria Australia","$77.52M"
"AUSTRALIAN LAMB COMPANY PTY. LTD.","Sunshine,Victoria Australia","$77.52M"
"BELLROY PTY LTD","Canterbury,Victoria Australia","$77.51M"
"ABCOR PTY. LTD.","Campbellfield,Victoria Australia","$77.17M"
"BROWN BROS. HOLDINGS PTY. LTD.","Milawa,Victoria Australia","$76.84M"
"AUTOPACIFIC AUSTRALIA PTY LTD","Keysborough,Victoria Australia","$76.75M"
"ENSIGN LABORATORIES PROPRIETARY LIMITED","Mulgrave,Victoria Australia","$76.69M"
"ANCA ASIA PTY. LTD.","Bayswater North,Victoria Australia","$76.65M"
"ANCA PROPERTY DEVELOPMENT PTY LTD","Bayswater North,Victoria Australia","$76.65M"
"ANCA MACHINE TOOLS PTY LTD","Bayswater North,Victoria Australia","$76.65M"
"ABBE NSW PTY LTD","Wetherill Park,New South Wales Australia","$76.56M"
"ARVINMERITOR LIGHT VEHICLE SYSTEMS AUSTRALIA PTY LTD","Sunshine,Victoria Australia","$76.49M"
"MERITOR HEAVY VEHICLE SYSTEMS AUSTRALIA LTD","Derrimut,Victoria Australia","$76.49M"
"PLASCORP HOLDINGS PTY LTD","Altona North,Victoria Australia","$76.47M"
"BERVAR PTY. LTD.","Campbellfield,Victoria Australia","$76.35M"
"PLASCORP PTY LTD","Altona North,Victoria Australia","$76.21M"
"ENTYCE FOOD INGREDIENTS PTY LTD","Scoresby,Victoria Australia","$75.82M"
"FENNER (PACIFIC) PTY LIMITED","West Footscray,Victoria Australia","$75.58M"
"WORLD WIRE CABLES (AUSTRALIA) PTY. LTD.","Oakleigh South,Victoria Australia","$75.42M"
"SOUTH WEST FIBRE PTY LTD","Myamyn,Victoria Australia","$74.35M"
"GREEN'S GENERAL FOODS PTY LIMITED","Glendenning,New South Wales Australia","$74.26M"
"TRELLEBORG HOLDINGS AUSTRALIA PTY LTD","Bentleigh East,Victoria Australia","$74.12M"
"PLANET INNOVATION HOLDINGS LTD","Box Hill,Victoria Australia","$73.89M"
"ARTISANAL HOLDINGS PTY LIMITED","Dandenong South,Victoria Australia","$73.56M"
"IXOM OPERATIONS PTY LTD","East Melbourne,Victoria Australia","$73.22M"
"BITUMINOUS PRODUCTS PTY LTD","East Melbourne,Victoria Australia","$73.22M"
"IXOM INTERNATIONAL HOLDINGS PTY LTD","East Melbourne,Victoria Australia","$73.22M"
"IXOM HOLDCO PTY LTD","East Melbourne,Victoria Australia","$73.22M"
"IXOM HOLDINGS PTY LTD","East Melbourne,Victoria Australia","$73.22M"
"GOLDACRES TRADING PTY LTD","Mitchell Park,Victoria Australia","$72.87M"
"AUSPORK LIMITED","Derrimut,Victoria Australia","$72.82M"
"AKD QUEENSLAND PTY LTD","Caboolture,Queensland Australia","$72.77M"
"EVZ LIMITED","Docklands,Victoria Australia","$72.71M"
"MOGAS REGIONAL PTY LTD","Kensington,South Australia Australia","$72.71M"
"H.B. FULLER COMPANY AUSTRALIA PTY LIMITED","Dandenong South,Victoria Australia","$72.42M"
"GRIFOLS AUSTRALIA PTY LTD","Clayton South,Victoria Australia","$72.03M"
"STUDCO AUSTRALIA PTY LTD","Kilsyth,Victoria Australia","$72M"
"STUDCO AUSTRALIA HOLDINGS PTY LTD","Kilsyth,Victoria Australia","$72M"
"HUME DOORS & TIMBER (VIC) PTY. LTD.","Dandenong South,Victoria Australia","$71.74M"
"PEUKER & ALEXANDER PROPRIETARY LIMITED","Campbellfield,Victoria Australia","$71.43M"
"DANA AUSTRALIA (HOLDINGS) PTY LTD","Keysborough,Victoria Australia","$71.1M"
"MACDERMID GRAPHICS SOLUTIONS, LLC","Melbourne,Victoria Australia","$71.03M"
"EMEIS COSMETICS PTY. LTD.","Collingwood,Victoria Australia","$70.75M"
"SDI LIMITED","Bayswater,Victoria Australia","$70.53M"
"BROWN BROTHERS MILAWA VINEYARD PTY. LIMITED","Milawa,Victoria Australia","$70.33M"
"PLACARD PTY LTD","Bayswater,Victoria Australia","$69.8M"
"REVIEW AUSTRALIA PTY LIMITED.","Richmond,Victoria Australia","$69.61M"
"KEMPE HOLDINGS PTY LTD","Geelong,Victoria Australia","$69.31M"
"BOUNDARY BEND OLIVES PTY LTD","Lara,Victoria Australia","$68.48M"
"MILBURN LAKE PTY. LTD.","West Melbourne,Victoria Australia","$68.33M"
"REEFNALE PTY. LIMITED","Hoppers Crossing,Victoria Australia","$67.78M"
"SCHUTZ AUSTRALIA PTY LTD","Laverton North,Victoria Australia","$67.74M"
"VITASOY AUSTRALIA PRODUCTS PTY LTD","Baranduda,Victoria Australia","$67.57M"
"PREMOSO PTY. LTD.","Clayton South,Victoria Australia","$67.28M"
"DNX AUSTRALIA PTY LTD","Murarrie,Queensland Australia","$67.08M"
"DYNO NOBEL ASIA PACIFIC PTY LIMITED","Murarrie,Queensland Australia","$67.08M"
"DYNO NOBEL MORANBAH PTY LTD","Murarrie,Queensland Australia","$67.08M"
"SOUTHERN CROSS INTERNATIONAL PTY LTD","Southbank,Victoria Australia","$67.08M"
"INCITEC PIVOT EXPLOSIVES HOLDINGS PTY LIMITED","Murarrie,Queensland Australia","$67.08M"
"TOP AUSTRALIA PTY LIMITED","Southbank,Victoria Australia","$67.08M"
"INTEGRATED PACKAGING GROUP PTY LTD","Reservoir,Victoria Australia","$67.03M"
"APEX BUILDINGS PRODUCTS (QLD) PTY LTD","Dandenong,Victoria Australia","$66.93M"
"FLAVOUR MAKERS PTY LTD","Braeside,Victoria Australia","$66.86M"
"JALNA DAIRY FOODS PTY. LTD.","Thomastown,Victoria Australia","$66.71M"
"CLARIANT (AUSTRALIA) PTY LIMITED","Chadstone,Victoria Australia","$66.63M"
"MEHOLD PTY LTD","Cheltenham,Victoria Australia","$66.38M"
"SIMBA GLOBAL PTY LTD","Bayswater North,Victoria Australia","$66.32M"
"AMALGAMATED METAL (AUSTRALIA) PTY LTD","Thomastown,Victoria Australia","$66M"
"WILJUMA PTY LTD","Bayswater,Victoria Australia","$65.78M"
"BARON RUBBER PROPRIETARY LIMITED","Broadmeadows,Victoria Australia","$65.5M"
"REGAL CREAM PRODUCTS PTY. LTD.","Derrimut,Victoria Australia","$65.39M"
"PROCAL DAIRIES PTY LTD","Campbellfield,Victoria Australia","$65.25M"
"GEKKO SYSTEMS PTY LTD","Mitchell Park,Victoria Australia","$65.23M"
"SIMPLOT AUSTRALIA PTY LIMITED","Mentone,Victoria Australia","$64.99M"
"OSI INTERNATIONAL FOODS (AUSTRALIA) PTY LIMITED","Eagle Farm,Queensland Australia","$64.9M"
"DC TARMAC PTY LTD","Tullamarine,Victoria Australia","$64.77M"
"CRH INFRASTRUCTURE PRODUCTS AUSTRALIA PTY LTD","Breakwater,Victoria Australia","$64.63M"
"INFRASTRUCTURE PRODUCTS AUSTRALIA PTY LTD","Breakwater,Victoria Australia","$64.63M"
"ANMAR GROUP PTY LTD","Truganina,Victoria Australia","$63.43M"
"NIPPY'S FRUIT JUICES PTY LTD","Campbellfield,Victoria Australia","$63.03M"
"WEG AUSTRALIA PTY. LTD.","Scoresby,Victoria Australia","$63.01M"
"METRO FIBER PTY LTD","North Wangaratta,Victoria Australia","$62.83M"
"SAINT-GOBAIN ABRASIVES PTY LTD","Craigieburn,Victoria Australia","$62.75M"
"SMARDT CHILLERS PTY LTD","Bayswater North,Victoria Australia","$62.42M"
"DECON CORPORATION PTY LTD","Kilsyth,Victoria Australia","$62.28M"
"LUV-A-DUCK PTY LTD","Port Melbourne,Victoria Australia","$61.95M"
"OLIVER J. NILSEN (AUSTRALIA) LIMITED","Mulgrave,Victoria Australia","$61.9M"
"SIEMENS RAIL AUTOMATION PTY. LTD.","Docklands,Victoria Australia","$61.84M"
"ZOETIS AUSTRALIA RESEARCH & MANUFACTURING PTY LTD","Parkville,Victoria Australia","$61.58M"
"CIGWELD PTY LTD","Preston,Victoria Australia","$61.53M"
"MIDCOAST TIMBER CENTRES PTY LTD","Kirrawee,New South Wales Australia","$61.52M"
"NOV AUSTRALIA PTY LTD","Carrum Downs,Victoria Australia","$61.51M"
"ACUSHNET AUSTRALIA PTY LTD","Moorabbin Airport,Victoria Australia","$61.48M"
"ENCORE TISSUE (AUST) PTY LTD","Laverton North,Victoria Australia","$61.4M"
"SOLENIS AUSTRALIA PTY LTD","Springvale,Victoria Australia","$61.31M"
"JAYCO CORPORATION PTY. LTD.","Dandenong South,Victoria Australia","$61.2M"
"VICTORIAN CHEMICAL COMPANY PROPRIETARY LIMITED","Coolaroo,Victoria Australia","$60.8M"
"KRUEGER TRANSPORT EQUIPMENT PTY. LTD.","Derrimut,Victoria Australia","$60.6M"
"BUILDING PRODUCTS SUPPLIES PTY. LIMITED","Port Melbourne,Victoria Australia","$60.57M"
"SODASTREAM AUSTRALIA PTY LTD","Knoxfield,Victoria Australia","$60.47M"
"RYOWA DEVELOPMENT PTY. LTD.","Brisbane City,Queensland Australia","$60.31M"
"ASSA ABLOY ENTRANCE SYSTEMS AUSTRALIA PTY LIMITED","Yennora,New South Wales Australia","$60.22M"
"RECORD AUTOMATIC DOORS PTY LTD","Wetherill Park,New South Wales Australia","$60.22M"
"ASSA ABLOY DOOR GROUP AUSTRALIA PTY LIMITED","Cheltenham,Victoria Australia","$60.22M"
"JOST AUSTRALIA PTY LTD","Derrimut,Victoria Australia","$60.02M"
"BARKER TRAILERS PTY. LTD.","Woodend,Victoria Australia","$60M"
"AARON LABORATORIES PROPRIETARY LIMITED","Dandenong South,Victoria Australia","$59.87M"
"TREMCO ASIA PACIFIC PTY LIMITED","Eastern Creek,New South Wales Australia","$59.6M"
"MDJ HOLDINGS PTY. LTD.","Hallam,Victoria Australia","$59.56M"
"PROTEC PTY. LTD.","Clayton,Victoria Australia","$59.48M"
"HILTON MANUFACTURING PTY LTD","Dandenong South,Victoria Australia","$59.4M"
"ALPINE MDF INDUSTRIES PTY LTD","North Wangaratta,Victoria Australia","$59.38M"
"ICON PLASTICS PTY LTD","Hallam,Victoria Australia","$59.37M"
"MISMATCH BREWING COMPANY PTY LTD","Hay Valley,South Australia Australia","$59.3M"
"PREMIUM VICTORIA PTY. LTD.","Laverton North,Victoria Australia","$59.27M"
"ALISTAIR SOMERSET PTY LTD","Nunawading,Victoria Australia","$58.65M"
"SHEARFORM PTY LTD","Dandenong South,Victoria Australia","$58.62M"
"CANNATREK LTD","Caulfield North,Victoria Australia","$58.59M"
"IDYLL WINE CO PTY. LTD.","Geelong,Victoria Australia","$58.31M"
"FINCO2 PTY LTD","Cremorne,Victoria Australia","$58.25M"
"RATHBONE WINE GROUP PTY LTD","Port Melbourne,Victoria Australia","$57.49M"
"BARRETT COMMUNICATIONS PTY LTD","Bibra Lake,Western Australia Australia","$57.49M"
"REDFLEX HOLDINGS PTY LTD","South Melbourne,Victoria Australia","$57.31M"
"LINC ENERGY LTD","Southbank,Victoria Australia","$57.25M"
"MANSFIELDS PTY. LTD.","Keysborough,Victoria Australia","$57.24M"
"SCANLAN AND THEODORE PTY. LTD.","South Yarra,Victoria Australia","$56.71M"
"WESTKON PRECAST PTY LTD","Melton,Victoria Australia","$56.6M"
"COSMAX NBT AUSTRALIA PTY LTD","Dandenong South,Victoria Australia","$56.43M"
"JAMESTRONG PACKAGING AUSTRALIA PTY LTD","Richmond,Victoria Australia","$56.29M"
"NATURES ORGANICS PTY LTD","Ferntree Gully,Victoria Australia","$56.25M"
"HANWHA DEFENSE AUSTRALIA PTY LTD","Melbourne,Victoria Australia","$56.15M"
"VIPLUS DAIRY PTY LTD","Toora,Victoria Australia","$55.94M"
"AWARE ENVIRONMENTAL PTY LTD","Dandenong South,Victoria Australia","$55.89M"
"CARTER HOLT HARVEY PLYWOOD PTY LTD","Heidelberg,Victoria Australia","$55.83M"
"CARTER HOLT HARVEY BUILDING PRODUCTS PTY LIMITED","Heidelberg,Victoria Australia","$55.83M"
"TUFTMASTER CARPETS PTY. LTD.","Preston,Victoria Australia","$55.64M"
"ASALEO CARE LIMITED","Springvale,Victoria Australia","$55.5M"
"ASALEO TISSUE AUSTRALIA PTY LTD","Springvale,Victoria Australia","$55.5M"
"BOTANICAL FOOD COMPANY PTY LTD","Palmwoods,Queensland Australia","$55.47M"
